DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
,Visiting,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,0.00,0.00,1.00,1.66,1.00,0.00,0.00,2.00,0.00,2.00,2.00,0.00,0.00,2.00,1.00
,Adjunct,0.00,0.00,2.00,0.00,0.67,0.00,0.00,0.00,1.33,0.33,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.00
HIST Total,,5.00,4.67,5.00,5.49,6.00,6.00,6.33,5.33,4.49,4.33,6.33,6.99,6.00,6.99,5.65,8.33,6.00,6.66,6.33,5.67,6.33,6.17,5.00
,,,,,,,,,,,,,,,,,,,,,,,,
INTN,Tenured,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Tenure-Track,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,,,
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,Adjunct,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
INTN Total,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KIN/PHED*,Tenured,0.67,0.00,1.16,1.00,1.83,2.00,2.41,1.46,1.16,1.08,1.00,1.00,1.00,2.50,3.16,2.33,3.00,5.66,3.83,3.42,3.50,2.83,3.83
KIN addded as,Tenure-Track,1.33,1.83,2.16,2.66,2.00,1.00,0.83,1.00,1.00,0.67,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.33,1.17,0.67,0.00,1.00
main dept Fall 2011,Visiting,1.00,1.00,1.00,0.92,1.66,2.00,2.00,2.00,1.83,1.83,1.41,2.33,2.33,2.50,3.83,3.66,2.50,1.33,0.67,0.67,0.67,1.50,0.00
,Adjunct,1.00,1.67,1.75,0.66,0.16,0.00,0.16,0.16,0.50,0.50,2.00,1.83,3.58,3.25,2.41,5.25,3.58,3.41,2.08,3.33,3.08,3.42,2.75
PHED Total,,4.00,4.50,6.07,5.24,5.65,5.00,5.40,4.62,4.49,4.08,5.41,6.16,7.91,8.25,9.40,11.24,9.08,10.40,7.92,8.58,7.92,7.75,7.58
,,,,,,,,,,,,,,,,,,,,,,,,
MATH/CS*,Tenured,3.00,4.00,4.83,4.08,4.50,3.33,3.00,3.42,4.25,4.00,4.33,4.33,2.00,3.50,4.00,3.00,1.66,3.33,2.67,1.67,2.67,3.67,4.33
,Tenure-Track,2.00,1.00,1.00,0.66,0.00,2.00,1.00,1.00,0.00,1.00,1.00,0.66,1.00,1.00,2.00,2.00,2.00,2.00,3.33,1.67,1.67,2.00,1.00
